Year,Geo Code,Jurisdictions,Zipcode,Tot_Sales,MedianValue,MeanValue,Sales_insidePFA,MedVal_inPFA,MeanValue_inPFA,Sales_OutPFA,MedVal_OutPFA,MeanVal_OutPFA,Zip Code (Geocoded)
2012,,Anne Arundel,20779,8,$409975.00,$521119.00,,,,8,$409975.00,$521119.00,"Maryland 20779
(38.76377730600046, -76.56915673999964)"
2012,,Baltimore,21111,34,$460000.00,$481884.00,,,,34,$460000.00,$481884.00,"Maryland 21111
(39.57051882200045, -76.59309771999966)"
2012,,Somerset,21817,15,$98500.00,$125587.00,14,$98500.00,$113200.00,1,$999.00,$999.00,"Maryland 21817
(37.98909758500048, -75.84103809899966)"
2012,,Montgomery,20904,325,$335000.00,$335585.00,319,$335000.00,$334333.00,6,$400000.00,$402167.00,"Maryland 20904
(39.066428664000455, -76.97205606499966)"
2012,,Dorchester,21669,1,$999.00,$999.00,,,,1,$999.00,$999.00,"Maryland 21669
(38.46954656800045, -76.29674661999968)"
2012,,Talbot,21612,7,$652750.00,$613929.00,2,$999.00,$999.00,5,$652750.00,$636500.00,"Maryland 21612
(38.75734669800045, -76.28637943699965)"
2012,,Baltimore City,21215,183,$63950.00,$99702.00,183,$63950.00,$99702.00,,,,"Maryland 21215
(39.34604714800048, -76.68329568999962)"
2012,,Charles,20622,17,$346000.00,$323063.00,,,,17,$346000.00,$323063.00,"Maryland 20622
(38.469585674000484, -76.82696764099967)"
2012,,Harford,21132,15,$405000.00,$401315.00,,,,15,$405000.00,$401315.00,"Maryland 21132
(39.697258287000466, -76.42687953499967)"
2012,,Washington,21722,18,$207500.00,$190717.00,3,$999.00,$999.00,15,$207500.00,$199327.00,"Maryland 21722
(39.66602638800049, -77.91088574799966)"
2012,,Carroll,21048,67,$329950.00,$367974.00,3,$999.00,$999.00,64,$335725.00,$373895.00,"Maryland 21048
(39.50509607400045, -76.91115646799966)"
2012,,Anne Arundel,21077,2,$999.00,$999.00,2,$999.00,$999.00,,,,"Maryland 21077
(39.15739569900046, -76.69979802099965)"
2012,,Garrett,21520,9,$161250.00,$257411.00,1,$999.00,$999.00,8,$165000.00,$275912.00,"Maryland 21520
(39.62570908200047, -79.30861753299968)"
2012,,Prince George's,20772,430,$239950.00,$286114.00,326,$205000.00,$237767.00,104,$425810.00,$437663.00,"Maryland 20772
(38.79319733800048, -76.78653736499967)"
2012,,Anne Arundel,21409,251,$360000.00,$440038.00,208,$336750.00,$379466.00,43,$652500.00,$733042.00,"Maryland 21409
(39.027275819000465, -76.45413575499964)"
2012,,Charles,20612,2,$999.00,$999.00,2,$999.00,$999.00,,,,"Maryland 20612
(38.51181912700048, -76.67887681899964)"
2012,,Garrett,21550,118,$225250.00,$317475.00,48,$137750.00,$215442.00,70,$297500.00,$387440.00,"Maryland 21550
(39.41700977800048, -79.38600642499966)"
2012,,Montgomery,20912,201,$385000.00,$395239.00,201,$385000.00,$395239.00,,,,"Maryland 20912
(38.98287855400048, -77.00160644699963)"
2012,,Prince George's,20707,270,$198500.00,$218125.00,270,$198500.00,$218125.00,,,,"Maryland 20707
(39.09811678900047, -76.86857975899966)"
2012,,Prince George's,20712,23,$200375.00,$202435.00,23,$200375.00,$202435.00,,,,"Maryland 20712
(38.9434867330005, -76.96594698699965)"
2012,,Harford,21040,86,$138900.00,$144008.00,86,$138900.00,$144008.00,,,,"Maryland 21040
(39.43067916500047, -76.30299908299963)"
2012,,Cecil,21919,23,$206500.00,$226413.00,12,$160000.00,$158375.00,11,$275000.00,$300636.00,"Maryland 21919
(39.437118463000445, -75.94713878699963)"
2012,,Baltimore,21229,47,$167000.00,$169203.00,47,$167000.00,$169203.00,,,,"Maryland 21229
(39.284156890000475, -76.69356728299965)"
2012,,Frederick,21783,2,$999.00,$999.00,,,,2,$999.00,$999.00,"Maryland 21783
(39.64937632600049, -77.56873828999966)"
2012,,Montgomery,20872,98,$287500.00,$322923.00,62,$255000.00,$273254.00,36,$352450.00,$408466.00,"Maryland 20872
(39.28241888800045, -77.21145717799965)"
2012,,Washington,21750,10,$115000.00,$122350.00,5,$93250.00,$108700.00,5,$115000.00,$136000.00,"Maryland 21750
(39.699695836000444, -78.18412576399965)"
2012,,Worcester,21811,356,$212250.00,$242221.00,267,$212250.00,$242897.00,89,$207450.00,$240196.00,"Maryland 21811
(38.33930937400049, -75.18817929699964)"
